                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1121,                 4.1625,                 1.7318,                0.00143,                0.34483,                0.06961,                0.02775,                 2.1178,                 4.0337,                 1.6094,              3.333e-05,              3.333e-05,              3.333e-05
                      2,                  2.124,                 4.1459,                 1.8539,                  0.008,                0.70115,                0.09952,                  0.046,                 2.0872,                  4.045,                 1.5975,                7.7e-05,                7.7e-05,                7.7e-05
                      3,                 1.8648,                 3.9559,                 1.6332,                0.00774,                0.71264,                0.17771,                0.11934,                 2.2283,                 4.0539,                 1.7119,             0.00011979,             0.00011979,             0.00011979
                      4,                 1.9109,                 3.6512,                 1.6039,                0.00902,                0.72414,                0.34272,                0.23579,                  1.995,                 4.1245,                 1.7059,              0.0001617,              0.0001617,              0.0001617
                      5,                 1.8598,                 3.3435,                 1.5932,                0.01017,                0.73563,                 0.3507,                0.23866,                 1.9461,                 4.0996,                 1.6838,             0.00020273,             0.00020273,             0.00020273
                      6,                 1.9149,                 3.1318,                 1.5441,                 0.0116,                0.75862,                0.13383,                0.07654,                 1.9718,                 3.9585,                 1.6625,             0.00024288,             0.00024288,             0.00024288
                      7,                  1.907,                 3.0962,                 1.5994,                0.01356,                 0.7931,                0.13382,                0.07168,                 2.0074,                 3.8034,                 1.6489,             0.00028215,             0.00028215,             0.00028215
                      8,                 1.8218,                 2.5835,                 1.4257,                0.01975,                0.87356,                0.22917,                0.11575,                 2.0246,                 3.5953,                 1.5806,             0.00032054,             0.00032054,             0.00032054
                      9,                 1.8478,                 2.6885,                 1.5161,                0.02305,                0.90805,                0.41657,                0.29567,                 2.0479,                 3.4494,                 1.4852,             0.00035805,             0.00035805,             0.00035805
                     10,                 1.8826,                 2.5986,                  1.589,                0.02627,                0.95402,                0.43086,                0.29809,                 1.9644,                 3.3289,                 1.3848,             0.00039468,             0.00039468,             0.00039468
                     11,                 1.8276,                 2.3639,                 1.4704,                0.02325,                0.95402,                0.41711,                0.22978,                 1.9841,                 3.1904,                 1.4295,             0.00043043,             0.00043043,             0.00043043
                     12,                 1.7502,                 2.3667,                 1.4708,                0.02277,                0.96552,                0.46762,                0.28027,                 1.8997,                  3.192,                 1.4423,             0.00046531,             0.00046531,             0.00046531
                     13,                 1.6934,                 2.3388,                 1.4204,                0.01944,                0.91954,                0.27059,                 0.1565,                   1.83,                 3.3001,                 1.4782,              0.0004993,              0.0004993,              0.0004993
                     14,                 1.6503,                 2.2359,                 1.3722,                0.02035,                0.91954,                0.41334,                0.26349,                 1.8667,                 3.3714,                 1.5079,             0.00053241,             0.00053241,             0.00053241
                     15,                 1.7052,                 2.2981,                  1.478,                 0.0244,                0.97701,                0.49519,                0.26817,                 1.8583,                 3.0623,                 1.4402,             0.00056464,             0.00056464,             0.00056464
                     16,                  1.678,                 2.0114,                 1.3791,                0.31318,                 0.5301,                0.54308,                 0.2261,                 1.7669,                 2.8276,                 1.3455,             0.00059599,             0.00059599,             0.00059599
                     17,                 1.6882,                 2.0083,                 1.3938,                0.84376,                0.03952,                0.57174,                0.27871,                 1.6877,                 2.6233,                 1.3091,             0.00062646,             0.00062646,             0.00062646
                     18,                 1.8375,                 2.1262,                 1.4892,                0.76444,                0.04781,                0.43923,                0.27092,                 2.0695,                 3.1571,                 1.6816,             0.00065605,             0.00065605,             0.00065605
                     19,                 1.6196,                 2.0557,                  1.398,                0.81483,                0.04598,                0.44742,                0.23543,                 2.1681,                 3.1769,                 1.6814,             0.00068476,             0.00068476,             0.00068476
                     20,                 1.6732,                 1.8683,                 1.3949,                0.95658,                0.07707,                0.28228,                0.12615,                  2.066,                 2.8246,                 1.5331,              0.0007126,              0.0007126,              0.0007126
                     21,                 1.6501,                 1.9641,                 1.3461,                0.94707,                0.12202,                0.23171,                0.10725,                 1.8929,                 2.6261,                 1.3857,             0.00073955,             0.00073955,             0.00073955
