                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1121,                 4.1625,                 1.7318,                0.00646,                0.67816,                0.01002,                0.00156,                 2.1873,                 4.0818,                 1.6904,              3.333e-05,              3.333e-05,              3.333e-05
                      2,                  2.124,                 4.1459,                 1.8539,                0.00861,                0.72414,                 0.0266,                 0.0106,                 2.1571,                 4.0102,                 1.6568,                7.7e-05,                7.7e-05,                7.7e-05
                      3,                 1.8645,                 3.9561,                 1.6328,                0.00966,                0.74713,                0.06145,                0.03499,                 2.2165,                 3.9562,                 1.6616,             0.00011979,             0.00011979,             0.00011979
                      4,                 1.9222,                 3.6459,                 1.6096,                0.01156,                0.75862,                0.05932,                0.02826,                 2.2724,                 3.9949,                 1.7291,              0.0001617,              0.0001617,              0.0001617
                      5,                  1.854,                 3.3456,                 1.5845,                0.01143,                0.75862,                0.06793,                0.02882,                 2.2341,                 3.9468,                 1.7289,             0.00020273,             0.00020273,             0.00020273
                      6,                 1.9118,                 3.0995,                 1.5263,                0.01663,                0.82759,                0.09852,                0.03727,                 2.1835,                 3.7143,                 1.5828,             0.00024288,             0.00024288,             0.00024288
                      7,                 1.9216,                 3.0701,                 1.5937,                0.02257,                0.91954,                0.17201,                0.06778,                 2.2797,                 3.3825,                 1.4644,             0.00028215,             0.00028215,             0.00028215
                      8,                 1.8129,                 2.5719,                 1.4272,                0.02183,                0.91954,                0.18698,                0.07942,                 2.1602,                 3.3166,                 1.3881,             0.00032054,             0.00032054,             0.00032054
                      9,                 1.8598,                 2.6643,                 1.5211,                0.02195,                0.91954,                0.43824,                0.30527,                  2.077,                 3.3074,                 1.4014,             0.00035805,             0.00035805,             0.00035805
                     10,                 1.8416,                 2.5948,                 1.5639,                0.02821,                0.95402,                0.51747,                  0.308,                 1.8639,                 3.1898,                 1.2955,             0.00039468,             0.00039468,             0.00039468
                     11,                 1.8013,                  2.416,                 1.4736,                0.02766,                0.94253,                0.35154,                0.18563,                 1.8099,                 3.1691,                 1.3168,             0.00043043,             0.00043043,             0.00043043
                     12,                 1.7699,                 2.3609,                  1.484,                0.02665,                0.93103,                 0.4727,                0.22152,                 1.7847,                 3.2595,                  1.375,             0.00046531,             0.00046531,             0.00046531
                     13,                  1.685,                 2.2532,                 1.4294,                0.02163,                0.88506,                0.15757,                0.04787,                 1.8857,                 3.5404,                 1.5437,              0.0004993,              0.0004993,              0.0004993
                     14,                 1.6483,                 2.2547,                 1.3835,                0.01968,                0.86207,                0.09409,                0.03221,                 1.8912,                 3.6604,                  1.618,             0.00053241,             0.00053241,             0.00053241
                     15,                 1.7369,                 2.2567,                 1.5083,                0.02224,                0.91954,                0.11918,                0.05313,                 1.9156,                 3.3216,                 1.5413,             0.00056464,             0.00056464,             0.00056464
                     16,                 1.6815,                 2.0183,                 1.4123,                0.90815,                0.03096,                 0.1651,                0.07587,                 1.8858,                 2.9856,                 1.4779,             0.00059599,             0.00059599,             0.00059599
